Train Station Extended,,Train Station Extended,,Train Station Extended,,Train Station Extended
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
To R. Glen,,To R. Glen,,To R. Glen,,To R. Glen
L. Fuller (.57),,L. Fuller (.57),,L. Fuller (.57),,L. Fuller (.57)
L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T)
1st R. Summit,,1st R. Summit,,1st R. Summit,,1st R. Summit
1st R. Wildt,,1st R. Wildt,,1st R. Wildt,,1st R. Wildt
R. Newport (2.58),,R. Newport (2.58),,R. Newport (2.58),,R. Newport (2.58)
Sl L. Maple (4.37),,Sl L. Maple (4.37),,Sl L. Maple (4.37),,Sl L. Maple (4.37)
Through 3 Circles,,Through 3 Circles,,Through 3 Circles,,Through 3 Circles
L. Dexter (6.46),,L. Dexter (6.46),,L. Dexter (6.46),,L. Dexter (6.46)
Onto Huron to CCRB,,Onto Huron to CCRB,,Onto Huron to CCRB,,Onto Huron to CCRB
Total: 9.08,,Total: 9.08,,Total: 9.08,,Total: 9.08
,,,,,,
Train Station Extended,,Train Station Extended,,Train Station Extended,,Train Station Extended
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
To R. Glen,,To R. Glen,,To R. Glen,,To R. Glen
L. Fuller (.57),,L. Fuller (.57),,L. Fuller (.57),,L. Fuller (.57)
L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T)
1st R. Summit,,1st R. Summit,,1st R. Summit,,1st R. Summit
1st R. Wildt,,1st R. Wildt,,1st R. Wildt,,1st R. Wildt
R. Newport (2.58),,R. Newport (2.58),,R. Newport (2.58),,R. Newport (2.58)
Sl L. Maple (4.37),,Sl L. Maple (4.37),,Sl L. Maple (4.37),,Sl L. Maple (4.37)
Through 3 Circles,,Through 3 Circles,,Through 3 Circles,,Through 3 Circles
L. Dexter (6.46),,L. Dexter (6.46),,L. Dexter (6.46),,L. Dexter (6.46)
Onto Huron to CCRB,,Onto Huron to CCRB,,Onto Huron to CCRB,,Onto Huron to CCRB
Total: 9.08,,Total: 9.08,,Total: 9.08,,Total: 9.08
,,,,,,
Train Station Extended,,Train Station Extended,,Train Station Extended,,Train Station Extended
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
To R. Glen,,To R. Glen,,To R. Glen,,To R. Glen
L. Fuller (.57),,L. Fuller (.57),,L. Fuller (.57),,L. Fuller (.57)
L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T)
1st R. Summit,,1st R. Summit,,1st R. Summit,,1st R. Summit
1st R. Wildt,,1st R. Wildt,,1st R. Wildt,,1st R. Wildt
R. Newport (2.58),,R. Newport (2.58),,R. Newport (2.58),,R. Newport (2.58)
Sl L. Maple (4.37),,Sl L. Maple (4.37),,Sl L. Maple (4.37),,Sl L. Maple (4.37)
Through 3 Circles,,Through 3 Circles,,Through 3 Circles,,Through 3 Circles
L. Dexter (6.46),,L. Dexter (6.46),,L. Dexter (6.46),,L. Dexter (6.46)
Onto Huron to CCRB,,Onto Huron to CCRB,,Onto Huron to CCRB,,Onto Huron to CCRB
Total: 9.08,,Total: 9.08,,Total: 9.08,,Total: 9.08
