Lapping Concordia,,Lapping Concordia,,Lapping Concordia
Observatory to Washington Hts.,,Observatory to Washington Hts.,,Observatory to Washington Hts.
Straight into Arb,,Straight into Arb,,Straight into Arb
Arb trails across RR tracks,,Arb trails across RR tracks,,Arb trails across RR tracks
Onto paved path along river,,Onto paved path along river,,Onto paved path along river
Take path through Gallup,,Take path through Gallup,,Take path through Gallup
Path all the way to the end (4.3),,Path all the way to the end (4.3),,Path all the way to the end (4.3)
L. onto Geddes Rd.,,L. onto Geddes Rd.,,L. onto Geddes Rd.
Take Geddes past Concordia,,Take Geddes past Concordia,,Take Geddes past Concordia
L. into Gallup Park (6.04),,L. into Gallup Park (6.04),,L. into Gallup Park (6.04)
R. onto paved trail again (6.22),,R. onto paved trail again (6.22),,R. onto paved trail again (6.22)
"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB"
Total: 8.77,,Total: 8.77,,Total: 8.77
,,,,
Lapping Concordia,,Lapping Concordia,,Lapping Concordia
Observatory to Washington Hts.,,Observatory to Washington Hts.,,Observatory to Washington Hts.
Straight into Arb,,Straight into Arb,,Straight into Arb
Arb trails across RR tracks,,Arb trails across RR tracks,,Arb trails across RR tracks
Onto paved path along river,,Onto paved path along river,,Onto paved path along river
Take path through Gallup,,Take path through Gallup,,Take path through Gallup
Path all the way to the end (4.3),,Path all the way to the end (4.3),,Path all the way to the end (4.3)
L. onto Geddes Rd.,,L. onto Geddes Rd.,,L. onto Geddes Rd.
Take Geddes past Concordia,,Take Geddes past Concordia,,Take Geddes past Concordia
L. into Gallup Park (6.04),,L. into Gallup Park (6.04),,L. into Gallup Park (6.04)
R. onto paved trail again (6.22),,R. onto paved trail again (6.22),,R. onto paved trail again (6.22)
"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB"
Total: 8.77,,Total: 8.77,,Total: 8.77
,,,,
Lapping Concordia,,Lapping Concordia,,Lapping Concordia
Observatory to Washington Hts.,,Observatory to Washington Hts.,,Observatory to Washington Hts.
Straight into Arb,,Straight into Arb,,Straight into Arb
Arb trails across RR tracks,,Arb trails across RR tracks,,Arb trails across RR tracks
Onto paved path along river,,Onto paved path along river,,Onto paved path along river
Take path through Gallup,,Take path through Gallup,,Take path through Gallup
Path all the way to the end (4.3),,Path all the way to the end (4.3),,Path all the way to the end (4.3)
L. onto Geddes Rd.,,L. onto Geddes Rd.,,L. onto Geddes Rd.
Take Geddes past Concordia,,Take Geddes past Concordia,,Take Geddes past Concordia
L. into Gallup Park (6.04),,L. into Gallup Park (6.04),,L. into Gallup Park (6.04)
R. onto paved trail again (6.22),,R. onto paved trail again (6.22),,R. onto paved trail again (6.22)
"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB"
Total: 8.77,,Total: 8.77,,Total: 8.77
,,,,
Lapping Concordia,,Lapping Concordia,,Lapping Concordia
Observatory to Washington Hts.,,Observatory to Washington Hts.,,Observatory to Washington Hts.
Straight into Arb,,Straight into Arb,,Straight into Arb
Arb trails across RR tracks,,Arb trails across RR tracks,,Arb trails across RR tracks
Onto paved path along river,,Onto paved path along river,,Onto paved path along river
Take path through Gallup,,Take path through Gallup,,Take path through Gallup
Path all the way to the end (4.3),,Path all the way to the end (4.3),,Path all the way to the end (4.3)
L. onto Geddes Rd.,,L. onto Geddes Rd.,,L. onto Geddes Rd.
Take Geddes past Concordia,,Take Geddes past Concordia,,Take Geddes past Concordia
L. into Gallup Park (6.04),,L. into Gallup Park (6.04),,L. into Gallup Park (6.04)
R. onto paved trail again (6.22),,R. onto paved trail again (6.22),,R. onto paved trail again (6.22)
"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB",,"L. back into Arb, back to CCRB"
Total: 8.77,,Total: 8.77,,Total: 8.77
