Cedar Bend,,Cedar Bend,,Cedar Bend,,Cedar Bend
Out Washington,,Out Washington,,Out Washington,,Out Washington
R E Med Center (0.4),,R E Med Center (0.4),,R E Med Center (0.4),,R E Med Center (0.4)
R Fuller (1.0),,R Fuller (1.0),,R Fuller (1.0),,R Fuller (1.0)
L @ parking lot into Fuller Park (1.18),,L @ parking lot into Fuller Park (1.18),,L @ parking lot into Fuller Park (1.18),,L @ parking lot into Fuller Park (1.18)
"Around fields, across bridge",,"Around fields, across bridge",,"Around fields, across bridge",,"Around fields, across bridge"
"R Island Dr, cont. up trail (1.56)",,"R Island Dr, cont. up trail (1.56)",,"R Island Dr, cont. up trail (1.56)",,"R Island Dr, cont. up trail (1.56)"
L Cedar Bend Dr (1.88),,L Cedar Bend Dr (1.88),,L Cedar Bend Dr (1.88),,L Cedar Bend Dr (1.88)
R Broadway (2.09),,R Broadway (2.09),,R Broadway (2.09),,R Broadway (2.09)
L Leaird Dr (2.15),,L Leaird Dr (2.15),,L Leaird Dr (2.15),,L Leaird Dr (2.15)
Cont on Trail (2.21),,Cont on Trail (2.21),,Cont on Trail (2.21),,Cont on Trail (2.21)
R Plymouth (2.33),,R Plymouth (2.33),,R Plymouth (2.33),,R Plymouth (2.33)
L Barton Dr (2.39),,L Barton Dr (2.39),,L Barton Dr (2.39),,L Barton Dr (2.39)
Boardwalk to skinny trails ,,Boardwalk to skinny trails ,,Boardwalk to skinny trails ,,Boardwalk to skinny trails 
L Argo dam (4.08),,L Argo dam (4.08),,L Argo dam (4.08),,L Argo dam (4.08)
R Maiden Ln (4.87),,R Maiden Ln (4.87),,R Maiden Ln (4.87),,R Maiden Ln (4.87)
R Fuller (4.97),,R Fuller (4.97),,R Fuller (4.97),,R Fuller (4.97)
L Huron to CCRB,,L Huron to CCRB,,L Huron to CCRB,,L Huron to CCRB
Total: 5.76,,Total: 5.76,,Total: 5.76,,Total: 5.76
,,,,,,
Cedar Bend,,Cedar Bend,,Cedar Bend,,Cedar Bend
Out Washington,,Out Washington,,Out Washington,,Out Washington
R E Med Center (0.4),,R E Med Center (0.4),,R E Med Center (0.4),,R E Med Center (0.4)
R Fuller (1.0),,R Fuller (1.0),,R Fuller (1.0),,R Fuller (1.0)
L @ parking lot into Fuller Park (1.18),,L @ parking lot into Fuller Park (1.18),,L @ parking lot into Fuller Park (1.18),,L @ parking lot into Fuller Park (1.18)
"Around fields, across bridge",,"Around fields, across bridge",,"Around fields, across bridge",,"Around fields, across bridge"
"R Island Dr, cont. up trail (1.56)",,"R Island Dr, cont. up trail (1.56)",,"R Island Dr, cont. up trail (1.56)",,"R Island Dr, cont. up trail (1.56)"
L Cedar Bend Dr (1.88),,L Cedar Bend Dr (1.88),,L Cedar Bend Dr (1.88),,L Cedar Bend Dr (1.88)
R Broadway (2.09),,R Broadway (2.09),,R Broadway (2.09),,R Broadway (2.09)
L Leaird Dr (2.15),,L Leaird Dr (2.15),,L Leaird Dr (2.15),,L Leaird Dr (2.15)
Cont on Trail (2.21),,Cont on Trail (2.21),,Cont on Trail (2.21),,Cont on Trail (2.21)
R Plymouth (2.33),,R Plymouth (2.33),,R Plymouth (2.33),,R Plymouth (2.33)
L Barton Dr (2.39),,L Barton Dr (2.39),,L Barton Dr (2.39),,L Barton Dr (2.39)
Boardwalk to skinny trails ,,Boardwalk to skinny trails ,,Boardwalk to skinny trails ,,Boardwalk to skinny trails 
L Argo dam (4.08),,L Argo dam (4.08),,L Argo dam (4.08),,L Argo dam (4.08)
R Maiden Ln (4.87),,R Maiden Ln (4.87),,R Maiden Ln (4.87),,R Maiden Ln (4.87)
R Fuller (4.97),,R Fuller (4.97),,R Fuller (4.97),,R Fuller (4.97)
L Huron to CCRB,,L Huron to CCRB,,L Huron to CCRB,,L Huron to CCRB
Total: 5.76,,Total: 5.76,,Total: 5.76,,Total: 5.76
