Bird Trails,,Bird Trails,,Bird Trails,,Bird Trails
Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory
R. Washington hts (0.1),,R. Washington hts (0.1),,R. Washington hts (0.1),,R. Washington hts (0.1)
R. E Medical ctr (0.52),,R. E Medical ctr (0.52),,R. E Medical ctr (0.52),,R. E Medical ctr (0.52)
Cont. Maiden ln (1.03),,Cont. Maiden ln (1.03),,Cont. Maiden ln (1.03),,Cont. Maiden ln (1.03)
L. Wall st (1.12),,L. Wall st (1.12),,L. Wall st (1.12),,L. Wall st (1.12)
Follow Path,,Follow Path,,Follow Path,,Follow Path
R. on Argo bridge,,R. on Argo bridge,,R. on Argo bridge,,R. on Argo bridge
Cont. Skinny trails (1.89),,Cont. Skinny trails (1.89),,Cont. Skinny trails (1.89),,Cont. Skinny trails (1.89)
L. boardwalk (2.83),,L. boardwalk (2.83),,L. boardwalk (2.83),,L. boardwalk (2.83)
L. Barton dr (2.92),,L. Barton dr (2.92),,L. Barton dr (2.92),,L. Barton dr (2.92)
L. to dam over chain (3.77),,L. to dam over chain (3.77),,L. to dam over chain (3.77),,L. to dam over chain (3.77)
Into trails,,Into trails,,Into trails,,Into trails
Cont. Bird rd (4.54),,Cont. Bird rd (4.54),,Cont. Bird rd (4.54),,Cont. Bird rd (4.54)
L. into trails (4.64),,L. into trails (4.64),,L. into trails (4.64),,L. into trails (4.64)
L. Newport (5.41),,L. Newport (5.41),,L. Newport (5.41),,L. Newport (5.41)
L. Sunset (5.82),,L. Sunset (5.82),,L. Sunset (5.82),,L. Sunset (5.82)
R. Fountain (6.23),,R. Fountain (6.23),,R. Fountain (6.23),,R. Fountain (6.23)
L. Miller (6.92),,L. Miller (6.92),,L. Miller (6.92),,L. Miller (6.92)
R. Main (7.22),,R. Main (7.22),,R. Main (7.22),,R. Main (7.22)
L. Huron (7.35),,L. Huron (7.35),,L. Huron (7.35),,L. Huron (7.35)
Total: 8.31,,Total: 8.31,,Total: 8.31,,Total: 8.31
,,,,,,
Bird Trails,,Bird Trails,,Bird Trails,,Bird Trails
Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory
R. Washington hts (0.1),,R. Washington hts (0.1),,R. Washington hts (0.1),,R. Washington hts (0.1)
R. E Medical ctr (0.52),,R. E Medical ctr (0.52),,R. E Medical ctr (0.52),,R. E Medical ctr (0.52)
Cont. Maiden ln (1.03),,Cont. Maiden ln (1.03),,Cont. Maiden ln (1.03),,Cont. Maiden ln (1.03)
L. Wall st (1.12),,L. Wall st (1.12),,L. Wall st (1.12),,L. Wall st (1.12)
Follow Path,,Follow Path,,Follow Path,,Follow Path
R. on Argo bridge,,R. on Argo bridge,,R. on Argo bridge,,R. on Argo bridge
Cont. Skinny trails (1.89),,Cont. Skinny trails (1.89),,Cont. Skinny trails (1.89),,Cont. Skinny trails (1.89)
L. boardwalk (2.83),,L. boardwalk (2.83),,L. boardwalk (2.83),,L. boardwalk (2.83)
L. Barton dr (2.92),,L. Barton dr (2.92),,L. Barton dr (2.92),,L. Barton dr (2.92)
L. to dam over chain (3.77),,L. to dam over chain (3.77),,L. to dam over chain (3.77),,L. to dam over chain (3.77)
Into trails,,Into trails,,Into trails,,Into trails
Cont. Bird rd (4.54),,Cont. Bird rd (4.54),,Cont. Bird rd (4.54),,Cont. Bird rd (4.54)
L. into trails (4.64),,L. into trails (4.64),,L. into trails (4.64),,L. into trails (4.64)
L. Newport (5.41),,L. Newport (5.41),,L. Newport (5.41),,L. Newport (5.41)
L. Sunset (5.82),,L. Sunset (5.82),,L. Sunset (5.82),,L. Sunset (5.82)
R. Fountain (6.23),,R. Fountain (6.23),,R. Fountain (6.23),,R. Fountain (6.23)
L. Miller (6.92),,L. Miller (6.92),,L. Miller (6.92),,L. Miller (6.92)
R. Main (7.22),,R. Main (7.22),,R. Main (7.22),,R. Main (7.22)
L. Huron (7.35),,L. Huron (7.35),,L. Huron (7.35),,L. Huron (7.35)
Total: 8.31,,Total: 8.31,,Total: 8.31,,Total: 8.31
