Nowhere Exciting,,Nowhere Exciting,,Nowhere Exciting,,Nowhere Exciting
Start N on Obseratory,,Start N on Obseratory,,Start N on Obseratory,,Start N on Obseratory
R. Washington,,R. Washington,,R. Washington,,R. Washington
(Markley),,(Markley),,(Markley),,(Markley)
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
L. Fuller (1),,L. Fuller (1),,L. Fuller (1),,L. Fuller (1)
1st R. Fuller,,1st R. Fuller,,1st R. Fuller,,1st R. Fuller
Up Stairs (1.57),,Up Stairs (1.57),,Up Stairs (1.57),,Up Stairs (1.57)
Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes
L. Main (1.91),,L. Main (1.91),,L. Main (1.91),,L. Main (1.91)
L. Stadium (3.35),,L. Stadium (3.35),,L. Stadium (3.35),,L. Stadium (3.35)
L. White (3.93),,L. White (3.93),,L. White (3.93),,L. White (3.93)
1st L. Granger,,1st L. Granger,,1st L. Granger,,1st L. Granger
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.41,,Total: 5.41,,Total: 5.41,,Total: 5.41
,,,,,,
Nowhere Exciting,,Nowhere Exciting,,Nowhere Exciting,,Nowhere Exciting
Start N on Obseratory,,Start N on Obseratory,,Start N on Obseratory,,Start N on Obseratory
R. Washington,,R. Washington,,R. Washington,,R. Washington
(Markley),,(Markley),,(Markley),,(Markley)
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
L. Fuller (1),,L. Fuller (1),,L. Fuller (1),,L. Fuller (1)
1st R. Fuller,,1st R. Fuller,,1st R. Fuller,,1st R. Fuller
Up Stairs (1.57),,Up Stairs (1.57),,Up Stairs (1.57),,Up Stairs (1.57)
Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes
L. Main (1.91),,L. Main (1.91),,L. Main (1.91),,L. Main (1.91)
L. Stadium (3.35),,L. Stadium (3.35),,L. Stadium (3.35),,L. Stadium (3.35)
L. White (3.93),,L. White (3.93),,L. White (3.93),,L. White (3.93)
1st L. Granger,,1st L. Granger,,1st L. Granger,,1st L. Granger
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.41,,Total: 5.41,,Total: 5.41,,Total: 5.41
,,,,,,
Nowhere Exciting,,Nowhere Exciting,,Nowhere Exciting,,Nowhere Exciting
Start N on Obseratory,,Start N on Obseratory,,Start N on Obseratory,,Start N on Obseratory
R. Washington,,R. Washington,,R. Washington,,R. Washington
(Markley),,(Markley),,(Markley),,(Markley)
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
L. Fuller (1),,L. Fuller (1),,L. Fuller (1),,L. Fuller (1)
1st R. Fuller,,1st R. Fuller,,1st R. Fuller,,1st R. Fuller
Up Stairs (1.57),,Up Stairs (1.57),,Up Stairs (1.57),,Up Stairs (1.57)
Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes,,Stay Sl. R. onto Beakes
L. Main (1.91),,L. Main (1.91),,L. Main (1.91),,L. Main (1.91)
L. Stadium (3.35),,L. Stadium (3.35),,L. Stadium (3.35),,L. Stadium (3.35)
L. White (3.93),,L. White (3.93),,L. White (3.93),,L. White (3.93)
1st L. Granger,,1st L. Granger,,1st L. Granger,,1st L. Granger
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.41,,Total: 5.41,,Total: 5.41,,Total: 5.41
