Delhi,,Delhi,,Delhi,,Delhi,,Delhi
Start N on E Huron,,Start N on E Huron,,Start N on E Huron,,Start N on E Huron,,Start N on E Huron
R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3)
L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58)
Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89)
R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26)
Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park
L over railroad through trail,,L over railroad through trail,,L over railroad through trail,,L over railroad through trail,,L over railroad through trail
R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35)
L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23)
L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04)
R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77)
L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9)
Total: 13.85,,Total: 13.85,,Total: 13.85,,Total: 13.85,,Total: 13.85
,,,,,,,,
Delhi,,Delhi,,Delhi,,Delhi,,Delhi
Start N on E Huron,,Start N on E Huron,,Start N on E Huron,,Start N on E Huron,,Start N on E Huron
R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3)
L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58)
Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89)
R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26)
Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park
L over railroad through trail,,L over railroad through trail,,L over railroad through trail,,L over railroad through trail,,L over railroad through trail
R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35)
L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23)
L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04)
R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77)
L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9)
Total: 13.85,,Total: 13.85,,Total: 13.85,,Total: 13.85,,Total: 13.85
,,,,,,,,
Delhi,,Delhi,,Delhi,,Delhi,,Delhi
Start N on E Huron,,Start N on E Huron,,Start N on E Huron,,Start N on E Huron,,Start N on E Huron
R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3),,R onto Glen (0.3)
L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58),,L onto Fuller (0.58)
Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89),,Continue onto Depot (0.89)
R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26),,R onto Main (1.26)
Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park,,Through Bandamer Park
L over railroad through trail,,L over railroad through trail,,L over railroad through trail,,L over railroad through trail,,L over railroad through trail
R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35),,R onto Huron River (2.35)
L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23),,L onto Delhi (7.23)
L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04),,L onto Miller (9.04)
R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77),,R onto Main (12.77)
L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9),,L onto E Huron (12.9)
Total: 13.85,,Total: 13.85,,Total: 13.85,,Total: 13.85,,Total: 13.85
