Glazier Way Backway Long,,Glazier Way Backway Long,,Glazier Way Backway Long,,Glazier Way Backway Long,,Glazier Way Backway Long
To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading North,,Heading North,,Heading North,,Heading North,,Heading North
R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights
(Markley),,(Markley),,(Markley),,(Markley),,(Markley)
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
R. Fuller (1),,R. Fuller (1),,R. Fuller (1),,R. Fuller (1),,R. Fuller (1)
L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06)
Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy
L. Markberry (3.42),,L. Markberry (3.42),,L. Markberry (3.42),,L. Markberry (3.42),,L. Markberry (3.42)
L. Windemer (@ T),,L. Windemer (@ T),,L. Windemer (@ T),,L. Windemer (@ T),,L. Windemer (@ T)
R. Green (@ T),,R. Green (@ T),,R. Green (@ T),,R. Green (@ T),,R. Green (@ T)
L. Hubbard (4.15),,L. Hubbard (4.15),,L. Hubbard (4.15),,L. Hubbard (4.15),,L. Hubbard (4.15)
Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy
Straight to Hayward,,Straight to Hayward,,Straight to Hayward,,Straight to Hayward,,Straight to Hayward
L. Murfin (@ T),,L. Murfin (@ T),,L. Murfin (@ T),,L. Murfin (@ T),,L. Murfin (@ T)
R. Bonisteel (@ T),,R. Bonisteel (@ T),,R. Bonisteel (@ T),,R. Bonisteel (@ T),,R. Bonisteel (@ T)
R. Fuller (@ T),,R. Fuller (@ T),,R. Fuller (@ T),,R. Fuller (@ T),,R. Fuller (@ T)
L. Huron (@ T),,L. Huron (@ T),,L. Huron (@ T),,L. Huron (@ T),,L. Huron (@ T)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 7.42,,Total: 7.42,,Total: 7.42,,Total: 7.42,,Total: 7.42
,,,,,,,,
Glazier Way Backway Long,,Glazier Way Backway Long,,Glazier Way Backway Long,,Glazier Way Backway Long,,Glazier Way Backway Long
To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading North,,Heading North,,Heading North,,Heading North,,Heading North
R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights
(Markley),,(Markley),,(Markley),,(Markley),,(Markley)
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
R. Fuller (1),,R. Fuller (1),,R. Fuller (1),,R. Fuller (1),,R. Fuller (1)
L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06)
Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy
L. Markberry (3.42),,L. Markberry (3.42),,L. Markberry (3.42),,L. Markberry (3.42),,L. Markberry (3.42)
L. Windemer (@ T),,L. Windemer (@ T),,L. Windemer (@ T),,L. Windemer (@ T),,L. Windemer (@ T)
R. Green (@ T),,R. Green (@ T),,R. Green (@ T),,R. Green (@ T),,R. Green (@ T)
L. Hubbard (4.15),,L. Hubbard (4.15),,L. Hubbard (4.15),,L. Hubbard (4.15),,L. Hubbard (4.15)
Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy,,Cross Huron Pkwy
Straight to Hayward,,Straight to Hayward,,Straight to Hayward,,Straight to Hayward,,Straight to Hayward
L. Murfin (@ T),,L. Murfin (@ T),,L. Murfin (@ T),,L. Murfin (@ T),,L. Murfin (@ T)
R. Bonisteel (@ T),,R. Bonisteel (@ T),,R. Bonisteel (@ T),,R. Bonisteel (@ T),,R. Bonisteel (@ T)
R. Fuller (@ T),,R. Fuller (@ T),,R. Fuller (@ T),,R. Fuller (@ T),,R. Fuller (@ T)
L. Huron (@ T),,L. Huron (@ T),,L. Huron (@ T),,L. Huron (@ T),,L. Huron (@ T)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 7.42,,Total: 7.42,,Total: 7.42,,Total: 7.42,,Total: 7.42
