Oh Joy,,Oh Joy,,Oh Joy,,Oh Joy
Start E Huron,,Start E Huron,,Start E Huron,,Start E Huron
R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92)
R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57)
R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65)
L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2)
Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25)
R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12)
R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3)
Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14)
L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03)
L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81)
Total: 16.03,,Total: 16.03,,Total: 16.03,,Total: 16.03
,,,,,,
Oh Joy,,Oh Joy,,Oh Joy,,Oh Joy
Start E Huron,,Start E Huron,,Start E Huron,,Start E Huron
R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92)
R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57)
R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65)
L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2)
Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25)
R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12)
R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3)
Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14)
L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03)
L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81)
Total: 16.03,,Total: 16.03,,Total: 16.03,,Total: 16.03
,,,,,,
Oh Joy,,Oh Joy,,Oh Joy,,Oh Joy
Start E Huron,,Start E Huron,,Start E Huron,,Start E Huron
R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92)
R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57)
R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65)
L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2)
Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25)
R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12)
R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3)
Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14)
L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03)
L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81)
Total: 16.03,,Total: 16.03,,Total: 16.03,,Total: 16.03
,,,,,,
Oh Joy,,Oh Joy,,Oh Joy,,Oh Joy
Start E Huron,,Start E Huron,,Start E Huron,,Start E Huron
R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92),,R. N Main (0.92)
R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57),,R. Bandemer Park (1.57)
R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65),,R. Barton Shore (2.65)
L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2),,L. Pontiac tr (3.2)
Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25),,Slight R. Joy (7.25)
R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12),,R. Earhart (8.12)
R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3),,R. Glazier Way (12.3)
Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14),,Continue onto Fuller (14)
L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03),,L. East Med (15.03)
L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81),,L. Observatory (15.81)
Total: 16.03,,Total: 16.03,,Total: 16.03,,Total: 16.03
