7th,,7th,,7th,,7th,,7th,,7th,,7th
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
South on State,,South on State,,South on State,,South on State,,South on State,,South on State,,South on State
R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58)
Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main
L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T)
Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium
L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75)
L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T)
R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48
,,,,,,,,,,,,
7th,,7th,,7th,,7th,,7th,,7th,,7th
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
South on State,,South on State,,South on State,,South on State,,South on State,,South on State,,South on State
R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58)
Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main
L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T)
Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium
L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75)
L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T)
R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48
,,,,,,,,,,,,
7th,,7th,,7th,,7th,,7th,,7th,,7th
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
South on State,,South on State,,South on State,,South on State,,South on State,,South on State,,South on State
R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58),,R. Madison (.58)
Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main,,Cross Main
L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T),,L. 7th (@ T)
Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium,,Cross Stadium
L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75),,L. Scio Church (2.75)
L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T),,L. Main (@ T)
R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48),,R. Madison (4.48)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48,,Total: 5.48
