Earhart,,Earhart,,Earhart
"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb"
Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park
L. across bridge (1.91),,L. across bridge (1.91),,L. across bridge (1.91)
R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy)
get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East
L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08)
L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59)
L. Green Rd. (6.42),,L. Green Rd. (6.42),,L. Green Rd. (6.42)
R. Glazier Way (7.67),,R. Glazier Way (7.67),,R. Glazier Way (7.67)
R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73)
back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron
Total: 10.36,,Total: 10.36,,Total: 10.36
,,,,
,,,,
Earhart,,Earhart,,Earhart
"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb"
Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park
L. across bridge (1.91),,L. across bridge (1.91),,L. across bridge (1.91)
R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy)
get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East
L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08)
L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59)
L. Green Rd. (6.42),,L. Green Rd. (6.42),,L. Green Rd. (6.42)
R. Glazier Way (7.67),,R. Glazier Way (7.67),,R. Glazier Way (7.67)
R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73)
back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron
Total: 10.36,,Total: 10.36,,Total: 10.36
,,,,
,,,,
Earhart,,Earhart,,Earhart
"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb"
Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park
L. across bridge (1.91),,L. across bridge (1.91),,L. across bridge (1.91)
R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy)
get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East
L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08)
L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59)
L. Green Rd. (6.42),,L. Green Rd. (6.42),,L. Green Rd. (6.42)
R. Glazier Way (7.67),,R. Glazier Way (7.67),,R. Glazier Way (7.67)
R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73)
back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron
Total: 10.36,,Total: 10.36,,Total: 10.36
,,,,
,,,,
Earhart,,Earhart,,Earhart
"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb",,"Observatory, Washington Hts, into Arb"
Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park,,Arb to paved path towards Gallup Park
L. across bridge (1.91),,L. across bridge (1.91),,L. across bridge (1.91)
R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy),,R. along path (go under Huron Pkwy)
get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East,,get onto Geddes Rd. heading East
L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08),,L. Earhart Rd. (3.08)
L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59),,L. Plymouth Rd. (5.59)
L. Green Rd. (6.42),,L. Green Rd. (6.42),,L. Green Rd. (6.42)
R. Glazier Way (7.67),,R. Glazier Way (7.67),,R. Glazier Way (7.67)
R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73),,R. Fuller Rd. (8.73)
back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron,,back to CCRB via Glen + Huron
Total: 10.36,,Total: 10.36,,Total: 10.36
