AA Neighborhood,,AA Neighborhood,,AA Neighborhood,,AA Neighborhood
To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading South,,Heading South,,Heading South,,Heading South
L. Geddes (.18),,L. Geddes (.18),,L. Geddes (.18),,L. Geddes (.18)
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Overridge (2.09),,R. Overridge (2.09),,R. Overridge (2.09),,R. Overridge (2.09)
Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw
L. Manchester (@ T),,L. Manchester (@ T),,L. Manchester (@ T),,L. Manchester (@ T)
L. Dorchester (2.95),,L. Dorchester (2.95),,L. Dorchester (2.95),,L. Dorchester (2.95)
R. Easy St (3.31),,R. Easy St (3.31),,R. Easy St (3.31),,R. Easy St (3.31)
R. Packard (@ T),,R. Packard (@ T),,R. Packard (@ T),,R. Packard (@ T)
R. Colony (4.02),,R. Colony (4.02),,R. Colony (4.02),,R. Colony (4.02)
L. Essex (@ T),,L. Essex (@ T),,L. Essex (@ T),,L. Essex (@ T)
R. Independence (@ T),,R. Independence (@ T),,R. Independence (@ T),,R. Independence (@ T)
L. Manchester (4.64),,L. Manchester (4.64),,L. Manchester (4.64),,L. Manchester (4.64)
L. Needham (4.71),,L. Needham (4.71),,L. Needham (4.71),,L. Needham (4.71)
L. Medford (@ T),,L. Medford (@ T),,L. Medford (@ T),,L. Medford (@ T)
R. St. Francis (5.12),,R. St. Francis (5.12),,R. St. Francis (5.12),,R. St. Francis (5.12)
L. Stadium (@ T),,L. Stadium (@ T),,L. Stadium (@ T),,L. Stadium (@ T)
R. Ferdon (5.72),,R. Ferdon (5.72),,R. Ferdon (5.72),,R. Ferdon (5.72)
L. Wells (6.15),,L. Wells (6.15),,L. Wells (6.15),,L. Wells (6.15)
R. Lincoln (6.37),,R. Lincoln (6.37),,R. Lincoln (6.37),,R. Lincoln (6.37)
R. Hill (@ T),,R. Hill (@ T),,R. Hill (@ T),,R. Hill (@ T)
Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw
L. Oxford (6.95),,L. Oxford (6.95),,L. Oxford (6.95),,L. Oxford (6.95)
L. Geddes (7.14),,L. Geddes (7.14),,L. Geddes (7.14),,L. Geddes (7.14)
R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 7.58,,Total: 7.58,,Total: 7.58,,Total: 7.58
,,,,,,
AA Neighborhood,,AA Neighborhood,,AA Neighborhood,,AA Neighborhood
To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading South,,Heading South,,Heading South,,Heading South
L. Geddes (.18),,L. Geddes (.18),,L. Geddes (.18),,L. Geddes (.18)
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Overridge (2.09),,R. Overridge (2.09),,R. Overridge (2.09),,R. Overridge (2.09)
Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw
L. Manchester (@ T),,L. Manchester (@ T),,L. Manchester (@ T),,L. Manchester (@ T)
L. Dorchester (2.95),,L. Dorchester (2.95),,L. Dorchester (2.95),,L. Dorchester (2.95)
R. Easy St (3.31),,R. Easy St (3.31),,R. Easy St (3.31),,R. Easy St (3.31)
R. Packard (@ T),,R. Packard (@ T),,R. Packard (@ T),,R. Packard (@ T)
R. Colony (4.02),,R. Colony (4.02),,R. Colony (4.02),,R. Colony (4.02)
L. Essex (@ T),,L. Essex (@ T),,L. Essex (@ T),,L. Essex (@ T)
R. Independence (@ T),,R. Independence (@ T),,R. Independence (@ T),,R. Independence (@ T)
L. Manchester (4.64),,L. Manchester (4.64),,L. Manchester (4.64),,L. Manchester (4.64)
L. Needham (4.71),,L. Needham (4.71),,L. Needham (4.71),,L. Needham (4.71)
L. Medford (@ T),,L. Medford (@ T),,L. Medford (@ T),,L. Medford (@ T)
R. St. Francis (5.12),,R. St. Francis (5.12),,R. St. Francis (5.12),,R. St. Francis (5.12)
L. Stadium (@ T),,L. Stadium (@ T),,L. Stadium (@ T),,L. Stadium (@ T)
R. Ferdon (5.72),,R. Ferdon (5.72),,R. Ferdon (5.72),,R. Ferdon (5.72)
L. Wells (6.15),,L. Wells (6.15),,L. Wells (6.15),,L. Wells (6.15)
R. Lincoln (6.37),,R. Lincoln (6.37),,R. Lincoln (6.37),,R. Lincoln (6.37)
R. Hill (@ T),,R. Hill (@ T),,R. Hill (@ T),,R. Hill (@ T)
Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw,,Cross Washtenaw
L. Oxford (6.95),,L. Oxford (6.95),,L. Oxford (6.95),,L. Oxford (6.95)
L. Geddes (7.14),,L. Geddes (7.14),,L. Geddes (7.14),,L. Geddes (7.14)
R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 7.58,,Total: 7.58,,Total: 7.58,,Total: 7.58
