Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison
Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory
L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann
Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann
Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.
L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T)
L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04
,,,,,,,,,,
Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison
Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory
L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann
Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann
Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.
L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T)
L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04
,,,,,,,,,,
Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison
Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory
L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann
Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann
Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.
L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T)
L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04
,,,,,,,,,,
Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison,,Ann & Madison
Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory,,Start N on Observatory
L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann,,L. @ circle onto Ann
Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann,,Stay on Ann
Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.,,Cross Main St.
L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T),,L. 1st St (@ T)
L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91),,L. Madison (1.91)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04,,Total: 3.04
