Barton Shore Ext.,,Barton Shore Ext.,,Barton Shore Ext.
Out down E. Medical Ctr.,,Out down E. Medical Ctr.,,Out down E. Medical Ctr.
"Cross Fuller, L. on path after bridge",,"Cross Fuller, L. on path after bridge",,"Cross Fuller, L. on path after bridge"
Stay on trail along river (Skinny Trails),,Stay on trail along river (Skinny Trails),,Stay on trail along river (Skinny Trails)
Up stairs onto wooden platform,,Up stairs onto wooden platform,,Up stairs onto wooden platform
L. Barton Shore Dr. (3.11),,L. Barton Shore Dr. (3.11),,L. Barton Shore Dr. (3.11)
Stay R.on Barton Shore Dr. at fork,,Stay R.on Barton Shore Dr. at fork,,Stay R.on Barton Shore Dr. at fork
Stay straight on Barton Shore,,Stay straight on Barton Shore,,Stay straight on Barton Shore
L. Country Club Rd. (4.96) (uphill),,L. Country Club Rd. (4.96) (uphill),,L. Country Club Rd. (4.96) (uphill)
R. Landsdowne Rd. (5.95),,R. Landsdowne Rd. (5.95),,R. Landsdowne Rd. (5.95)
R. Maple Rd. (6.12),,R. Maple Rd. (6.12),,R. Maple Rd. (6.12)
R. Stein Rd. (6.78),,R. Stein Rd. (6.78),,R. Stein Rd. (6.78)
R. Whitmore Lake Rd. (8.38),,R. Whitmore Lake Rd. (8.38),,R. Whitmore Lake Rd. (8.38)
Straight into Bandemere Park (10.13),,Straight into Bandemere Park (10.13),,Straight into Bandemere Park (10.13)
R. across RR Tracks (11.14),,R. across RR Tracks (11.14),,R. across RR Tracks (11.14)
"L. Main St., L. Depot St. back to CCRB",,"L. Main St., L. Depot St. back to CCRB",,"L. Main St., L. Depot St. back to CCRB"
Total: 12.52,,Total: 12.52,,Total: 12.52
,,,,
Barton Shore Ext.,,Barton Shore Ext.,,Barton Shore Ext.
Out down E. Medical Ctr.,,Out down E. Medical Ctr.,,Out down E. Medical Ctr.
"Cross Fuller, L. on path after bridge",,"Cross Fuller, L. on path after bridge",,"Cross Fuller, L. on path after bridge"
Stay on trail along river (Skinny Trails),,Stay on trail along river (Skinny Trails),,Stay on trail along river (Skinny Trails)
Up stairs onto wooden platform,,Up stairs onto wooden platform,,Up stairs onto wooden platform
L. Barton Shore Dr. (3.11),,L. Barton Shore Dr. (3.11),,L. Barton Shore Dr. (3.11)
Stay R.on Barton Shore Dr. at fork,,Stay R.on Barton Shore Dr. at fork,,Stay R.on Barton Shore Dr. at fork
Stay straight on Barton Shore,,Stay straight on Barton Shore,,Stay straight on Barton Shore
L. Country Club Rd. (4.96) (uphill),,L. Country Club Rd. (4.96) (uphill),,L. Country Club Rd. (4.96) (uphill)
R. Landsdowne Rd. (5.95),,R. Landsdowne Rd. (5.95),,R. Landsdowne Rd. (5.95)
R. Maple Rd. (6.12),,R. Maple Rd. (6.12),,R. Maple Rd. (6.12)
R. Stein Rd. (6.78),,R. Stein Rd. (6.78),,R. Stein Rd. (6.78)
R. Whitmore Lake Rd. (8.38),,R. Whitmore Lake Rd. (8.38),,R. Whitmore Lake Rd. (8.38)
Straight into Bandemere Park (10.13),,Straight into Bandemere Park (10.13),,Straight into Bandemere Park (10.13)
R. across RR Tracks (11.14),,R. across RR Tracks (11.14),,R. across RR Tracks (11.14)
"L. Main St., L. Depot St. back to CCRB",,"L. Main St., L. Depot St. back to CCRB",,"L. Main St., L. Depot St. back to CCRB"
Total: 12.52,,Total: 12.52,,Total: 12.52
,,,,
Barton Shore Ext.,,Barton Shore Ext.,,Barton Shore Ext.
Out down E. Medical Ctr.,,Out down E. Medical Ctr.,,Out down E. Medical Ctr.
"Cross Fuller, L. on path after bridge",,"Cross Fuller, L. on path after bridge",,"Cross Fuller, L. on path after bridge"
Stay on trail along river (Skinny Trails),,Stay on trail along river (Skinny Trails),,Stay on trail along river (Skinny Trails)
Up stairs onto wooden platform,,Up stairs onto wooden platform,,Up stairs onto wooden platform
L. Barton Shore Dr. (3.11),,L. Barton Shore Dr. (3.11),,L. Barton Shore Dr. (3.11)
Stay R.on Barton Shore Dr. at fork,,Stay R.on Barton Shore Dr. at fork,,Stay R.on Barton Shore Dr. at fork
Stay straight on Barton Shore,,Stay straight on Barton Shore,,Stay straight on Barton Shore
L. Country Club Rd. (4.96) (uphill),,L. Country Club Rd. (4.96) (uphill),,L. Country Club Rd. (4.96) (uphill)
R. Landsdowne Rd. (5.95),,R. Landsdowne Rd. (5.95),,R. Landsdowne Rd. (5.95)
R. Maple Rd. (6.12),,R. Maple Rd. (6.12),,R. Maple Rd. (6.12)
R. Stein Rd. (6.78),,R. Stein Rd. (6.78),,R. Stein Rd. (6.78)
R. Whitmore Lake Rd. (8.38),,R. Whitmore Lake Rd. (8.38),,R. Whitmore Lake Rd. (8.38)
Straight into Bandemere Park (10.13),,Straight into Bandemere Park (10.13),,Straight into Bandemere Park (10.13)
R. across RR Tracks (11.14),,R. across RR Tracks (11.14),,R. across RR Tracks (11.14)
"L. Main St., L. Depot St. back to CCRB",,"L. Main St., L. Depot St. back to CCRB",,"L. Main St., L. Depot St. back to CCRB"
Total: 12.52,,Total: 12.52,,Total: 12.52
