Southwest Trails,,Southwest Trails,,Southwest Trails,,Southwest Trails,,Southwest Trails
Through diag to E. Madison,,Through diag to E. Madison,,Through diag to E. Madison,,Through diag to E. Madison,,Through diag to E. Madison
"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park"
"Straight through park, R. Davis",,"Straight through park, R. Davis",,"Straight through park, R. Davis",,"Straight through park, R. Davis",,"Straight through park, R. Davis"
L. 5th St.,,L. 5th St.,,L. 5th St.,,L. 5th St.,,L. 5th St.
Straight through park to Prescott,,Straight through park to Prescott,,Straight through park to Prescott,,Straight through park to Prescott,,Straight through park to Prescott
R. Stadium Blvd.,,R. Stadium Blvd.,,R. Stadium Blvd.,,R. Stadium Blvd.,,R. Stadium Blvd.
"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails"
Stay on trails along 7th St.,,Stay on trails along 7th St.,,Stay on trails along 7th St.,,Stay on trails along 7th St.,,Stay on trails along 7th St.
Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.
"through park, L. Brookfield",,"through park, L. Brookfield",,"through park, L. Brookfield",,"through park, L. Brookfield",,"through park, L. Brookfield"
"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower"
L. paved path before Main,,L. paved path before Main,,L. paved path before Main,,L. paved path before Main,,L. paved path before Main
R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park
"Exit trails, L. on Main",,"Exit trails, L. on Main",,"Exit trails, L. on Main",,"Exit trails, L. on Main",,"Exit trails, L. on Main"
R. paved path before Soccer,,R. paved path before Soccer,,R. paved path before Soccer,,R. paved path before Soccer,,R. paved path before Soccer
"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State"
R. McKinley,,R. McKinley,,R. McKinley,,R. McKinley,,R. McKinley
Cross Packard to E. University,,Cross Packard to E. University,,Cross Packard to E. University,,Cross Packard to E. University,,Cross Packard to E. University
E. University back to CCRB,,E. University back to CCRB,,E. University back to CCRB,,E. University back to CCRB,,E. University back to CCRB
Total: 7.74,,Total: 7.74,,Total: 7.74,,Total: 7.74,,Total: 7.74
,,,,,,,,
Southwest Trails,,Southwest Trails,,Southwest Trails,,Southwest Trails,,Southwest Trails
Through diag to E. Madison,,Through diag to E. Madison,,Through diag to E. Madison,,Through diag to E. Madison,,Through diag to E. Madison
"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park",,"Cross Main, L. at Wurster Park"
"Straight through park, R. Davis",,"Straight through park, R. Davis",,"Straight through park, R. Davis",,"Straight through park, R. Davis",,"Straight through park, R. Davis"
L. 5th St.,,L. 5th St.,,L. 5th St.,,L. 5th St.,,L. 5th St.
Straight through park to Prescott,,Straight through park to Prescott,,Straight through park to Prescott,,Straight through park to Prescott,,Straight through park to Prescott
R. Stadium Blvd.,,R. Stadium Blvd.,,R. Stadium Blvd.,,R. Stadium Blvd.,,R. Stadium Blvd.
"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails",,"Cross 7th St., L. into trails"
Stay on trails along 7th St.,,Stay on trails along 7th St.,,Stay on trails along 7th St.,,Stay on trails along 7th St.,,Stay on trails along 7th St.
Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.,,Cross Scio Church onto 7th St.
"through park, L. Brookfield",,"through park, L. Brookfield",,"through park, L. Brookfield",,"through park, L. Brookfield",,"through park, L. Brookfield"
"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower",,"cross AA Saline, onto Eisenhower"
L. paved path before Main,,L. paved path before Main,,L. paved path before Main,,L. paved path before Main,,L. paved path before Main
R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park,,R. into trail in Cranbrook Park
"Exit trails, L. on Main",,"Exit trails, L. on Main",,"Exit trails, L. on Main",,"Exit trails, L. on Main",,"Exit trails, L. on Main"
R. paved path before Soccer,,R. paved path before Soccer,,R. paved path before Soccer,,R. paved path before Soccer,,R. paved path before Soccer
"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State",,"Through Soccer Field, L. on State"
R. McKinley,,R. McKinley,,R. McKinley,,R. McKinley,,R. McKinley
Cross Packard to E. University,,Cross Packard to E. University,,Cross Packard to E. University,,Cross Packard to E. University,,Cross Packard to E. University
E. University back to CCRB,,E. University back to CCRB,,E. University back to CCRB,,E. University back to CCRB,,E. University back to CCRB
Total: 7.74,,Total: 7.74,,Total: 7.74,,Total: 7.74,,Total: 7.74
