Broadway Bridge Style,,Broadway Bridge Style,,Broadway Bridge Style,,Broadway Bridge Style,Broadway Bridge Style,,Broadway Bridge Style
Out N University,,Out N University,,Out N University,,Out N University,Out N University,,Out N University
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),R. State (@ T),,R. State (@ T)
L. Ann (.68),,L. Ann (.68),,L. Ann (.68),,L. Ann (.68),L. Ann (.68),,L. Ann (.68)
R. Division (.83),,R. Division (.83),,R. Division (.83),,R. Division (.83),R. Division (.83),,R. Division (.83)
Cross Bridge (over Depot),,Cross Bridge (over Depot),,Cross Bridge (over Depot),,Cross Bridge (over Depot),Cross Bridge (over Depot),,Cross Bridge (over Depot)
"Pass Maiden Ln,",,"Pass Maiden Ln,",,"Pass Maiden Ln,",,"Pass Maiden Ln,","Pass Maiden Ln,",,"Pass Maiden Ln,"
Sl. R. up Broadway,,Sl. R. up Broadway,,Sl. R. up Broadway,,Sl. R. up Broadway,Sl. R. up Broadway,,Sl. R. up Broadway
R. Cedar Bend (2),,R. Cedar Bend (2),,R. Cedar Bend (2),,R. Cedar Bend (2),R. Cedar Bend (2),,R. Cedar Bend (2)
"Continue on Cedar Bend,",,"Continue on Cedar Bend,",,"Continue on Cedar Bend,",,"Continue on Cedar Bend,","Continue on Cedar Bend,",,"Continue on Cedar Bend,"
going R. at all forks,,going R. at all forks,,going R. at all forks,,going R. at all forks,going R. at all forks,,going R. at all forks
Straight onto Island Dr.,,Straight onto Island Dr.,,Straight onto Island Dr.,,Straight onto Island Dr.,Straight onto Island Dr.,,Straight onto Island Dr.
Cross Maiden Ln.,,Cross Maiden Ln.,,Cross Maiden Ln.,,Cross Maiden Ln.,Cross Maiden Ln.,,Cross Maiden Ln.
R. Wall (2.98),,R. Wall (2.98),,R. Wall (2.98),,R. Wall (2.98),R. Wall (2.98),,R. Wall (2.98)
L. Broadway (3.31),,L. Broadway (3.31),,L. Broadway (3.31),,L. Broadway (3.31),L. Broadway (3.31),,L. Broadway (3.31)
Cross Bridge Again,,Cross Bridge Again,,Cross Bridge Again,,Cross Bridge Again,Cross Bridge Again,,Cross Bridge Again
Take 2ND Sl. R.,,Take 2ND Sl. R.,,Take 2ND Sl. R.,,Take 2ND Sl. R.,Take 2ND Sl. R.,,Take 2ND Sl. R.
Detroit St. (3.85),,Detroit St. (3.85),,Detroit St. (3.85),,Detroit St. (3.85),Detroit St. (3.85),,Detroit St. (3.85)
L. Catherine (3.92),,L. Catherine (3.92),,L. Catherine (3.92),,L. Catherine (3.92),L. Catherine (3.92),,L. Catherine (3.92)
R. State (4.22),,R. State (4.22),,R. State (4.22),,R. State (4.22),R. State (4.22),,R. State (4.22)
L. N University to CCRB,,L. N University to CCRB,,L. N University to CCRB,,L. N University to CCRB,L. N University to CCRB,,L. N University to CCRB
Total: 4.96,,Total: 4.96,,Total: 4.96,,Total: 4.96,Total: 4.96,,Total: 4.96
,,,,,,,,,
Broadway Bridge Style,,Broadway Bridge Style,,Broadway Bridge Style,,Broadway Bridge Style,Broadway Bridge Style,,Broadway Bridge Style
Out N University,,Out N University,,Out N University,,Out N University,Out N University,,Out N University
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),R. State (@ T),,R. State (@ T)
L. Ann (.68),,L. Ann (.68),,L. Ann (.68),,L. Ann (.68),L. Ann (.68),,L. Ann (.68)
R. Division (.83),,R. Division (.83),,R. Division (.83),,R. Division (.83),R. Division (.83),,R. Division (.83)
Cross Bridge (over Depot),,Cross Bridge (over Depot),,Cross Bridge (over Depot),,Cross Bridge (over Depot),Cross Bridge (over Depot),,Cross Bridge (over Depot)
