Summit Hill,Summit Hill,Summit Hill,Summit Hill,Summit Hill
Start N on,Start N on,Start N on,Start N on,Start N on
Washtenaw,Washtenaw,Washtenaw,Washtenaw,Washtenaw
R. Glen (.29),R. Glen (.29),R. Glen (.29),R. Glen (.29),R. Glen (.29)
L. Fuller (.58),L. Fuller (.58),L. Fuller (.58),L. Fuller (.58),L. Fuller (.58)
L. Main (@ T),L. Main (@ T),L. Main (@ T),L. Main (@ T),L. Main (@ T)
1st R. Summit,1st R. Summit,1st R. Summit,1st R. Summit,1st R. Summit
1st R. Sunset,1st R. Sunset,1st R. Sunset,1st R. Sunset,1st R. Sunset
L. Newport (2.61),L. Newport (2.61),L. Newport (2.61),L. Newport (2.61),L. Newport (2.61)
L. Miller (@ T),L. Miller (@ T),L. Miller (@ T),L. Miller (@ T),L. Miller (@ T)
R. Main (4.18),R. Main (4.18),R. Main (4.18),R. Main (4.18),R. Main (4.18)
2nd R. Huron,2nd R. Huron,2nd R. Huron,2nd R. Huron,2nd R. Huron
Back to CCRB,Back to CCRB,Back to CCRB,Back to CCRB,Back to CCRB
Total: 5.26,Total: 5.26,Total: 5.26,Total: 5.26,Total: 5.26
,,,,
Summit Hill,Summit Hill,Summit Hill,Summit Hill,Summit Hill
Start N on,Start N on,Start N on,Start N on,Start N on
Washtenaw,Washtenaw,Washtenaw,Washtenaw,Washtenaw
R. Glen (.29),R. Glen (.29),R. Glen (.29),R. Glen (.29),R. Glen (.29)
L. Fuller (.58),L. Fuller (.58),L. Fuller (.58),L. Fuller (.58),L. Fuller (.58)
L. Main (@ T),L. Main (@ T),L. Main (@ T),L. Main (@ T),L. Main (@ T)
1st R. Summit,1st R. Summit,1st R. Summit,1st R. Summit,1st R. Summit
1st R. Sunset,1st R. Sunset,1st R. Sunset,1st R. Sunset,1st R. Sunset
L. Newport (2.61),L. Newport (2.61),L. Newport (2.61),L. Newport (2.61),L. Newport (2.61)
L. Miller (@ T),L. Miller (@ T),L. Miller (@ T),L. Miller (@ T),L. Miller (@ T)
R. Main (4.18),R. Main (4.18),R. Main (4.18),R. Main (4.18),R. Main (4.18)
2nd R. Huron,2nd R. Huron,2nd R. Huron,2nd R. Huron,2nd R. Huron
Back to CCRB,Back to CCRB,Back to CCRB,Back to CCRB,Back to CCRB
Total: 5.26,Total: 5.26,Total: 5.26,Total: 5.26,Total: 5.26
,,,,
Summit Hill,Summit Hill,Summit Hill,Summit Hill,Summit Hill
Start N on,Start N on,Start N on,Start N on,Start N on
Washtenaw,Washtenaw,Washtenaw,Washtenaw,Washtenaw
R. Glen (.29),R. Glen (.29),R. Glen (.29),R. Glen (.29),R. Glen (.29)
L. Fuller (.58),L. Fuller (.58),L. Fuller (.58),L. Fuller (.58),L. Fuller (.58)
L. Main (@ T),L. Main (@ T),L. Main (@ T),L. Main (@ T),L. Main (@ T)
1st R. Summit,1st R. Summit,1st R. Summit,1st R. Summit,1st R. Summit
1st R. Sunset,1st R. Sunset,1st R. Sunset,1st R. Sunset,1st R. Sunset
L. Newport (2.61),L. Newport (2.61),L. Newport (2.61),L. Newport (2.61),L. Newport (2.61)
L. Miller (@ T),L. Miller (@ T),L. Miller (@ T),L. Miller (@ T),L. Miller (@ T)
R. Main (4.18),R. Main (4.18),R. Main (4.18),R. Main (4.18),R. Main (4.18)
2nd R. Huron,2nd R. Huron,2nd R. Huron,2nd R. Huron,2nd R. Huron
Back to CCRB,Back to CCRB,Back to CCRB,Back to CCRB,Back to CCRB
Total: 5.26,Total: 5.26,Total: 5.26,Total: 5.26,Total: 5.26
