Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5)
R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6)
L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00)
R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25)
R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84)
R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96)
L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88)
Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB
Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55
,,,,,,,,
Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5)
R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6)
L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00)
R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25)
R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84)
R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96)
L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88)
Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB
Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55
,,,,,,,,
Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5)
R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6)
L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00)
R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25)
R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84)
R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96)
L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88)
Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB
Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55
,,,,,,,,
Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short,,Pioneer Trails - Short
Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag,,Out through Diag
L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5),,L State St (0.5)
R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6),,R Madison St (0.6)
L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00),,L Main St (1.00)
R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25),,R trailhead by Scio Church Rd (2.25)
R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84),,R 7th St (2.84)
R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96),,R Madison St (3.96)
L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88),,L State St (4.88)
Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB,,Diag to CCRB
Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55,,Total: 5.55
