Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy
Start S. on Observatory,,Start S. on Observatory,,Start S. on Observatory,,Start S. on Observatory,,Start S. on Observatory
L. Geddes Ave (.12),,L. Geddes Ave (.12),,L. Geddes Ave (.12),,L. Geddes Ave (.12),,L. Geddes Ave (.12)
R. Avon Rd. (.94),,R. Avon Rd. (.94),,R. Avon Rd. (.94),,R. Avon Rd. (.94),,R. Avon Rd. (.94)
L. Devonshire (1.30),,L. Devonshire (1.30),,L. Devonshire (1.30),,L. Devonshire (1.30),,L. Devonshire (1.30)
L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28)
R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33)
R. Sidewalk before overpass,,R. Sidewalk before overpass,,R. Sidewalk before overpass,,R. Sidewalk before overpass,,R. Sidewalk before overpass
Straight onto Huron Pkway,,Straight onto Huron Pkway,,Straight onto Huron Pkway,,Straight onto Huron Pkway,,Straight onto Huron Pkway
R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27)
R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66)
Forced L. Dorchester,,Forced L. Dorchester,,Forced L. Dorchester,,Forced L. Dorchester,,Forced L. Dorchester
Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93)
R. Manchester (5.11),,R. Manchester (5.11),,R. Manchester (5.11),,R. Manchester (5.11),,R. Manchester (5.11)
L Washtenaw,,L Washtenaw,,L Washtenaw,,L Washtenaw,,L Washtenaw
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total 7.64,,Total 7.64,,Total 7.64,,Total 7.64,,Total 7.64
,,,,,,,,
Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy,,Devonshire-Huron Pkwy
Start S. on Observatory,,Start S. on Observatory,,Start S. on Observatory,,Start S. on Observatory,,Start S. on Observatory
L. Geddes Ave (.12),,L. Geddes Ave (.12),,L. Geddes Ave (.12),,L. Geddes Ave (.12),,L. Geddes Ave (.12)
R. Avon Rd. (.94),,R. Avon Rd. (.94),,R. Avon Rd. (.94),,R. Avon Rd. (.94),,R. Avon Rd. (.94)
L. Devonshire (1.30),,L. Devonshire (1.30),,L. Devonshire (1.30),,L. Devonshire (1.30),,L. Devonshire (1.30)
L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28),,L. Hickory Ln. (2.28)
R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33),,R. Geddes Ave. (2.33)
R. Sidewalk before overpass,,R. Sidewalk before overpass,,R. Sidewalk before overpass,,R. Sidewalk before overpass,,R. Sidewalk before overpass
Straight onto Huron Pkway,,Straight onto Huron Pkway,,Straight onto Huron Pkway,,Straight onto Huron Pkway,,Straight onto Huron Pkway
R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27),,R. Canterbury Rd. (4.27)
R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66),,R. Towner Blvd. (4.66)
Forced L. Dorchester,,Forced L. Dorchester,,Forced L. Dorchester,,Forced L. Dorchester,,Forced L. Dorchester
Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93),,Quick R. Medford Rd. (4.93)
R. Manchester (5.11),,R. Manchester (5.11),,R. Manchester (5.11),,R. Manchester (5.11),,R. Manchester (5.11)
L Washtenaw,,L Washtenaw,,L Washtenaw,,L Washtenaw,,L Washtenaw
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total 7.64,,Total 7.64,,Total 7.64,,Total 7.64,,Total 7.64
