Maple,,Maple,,Maple,,Maple,,Maple,,Maple
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09)
R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23)
R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59)
R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41)
R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21)
L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27)
R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T)
L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1
,,,,,,,,,,
Maple,,Maple,,Maple,,Maple,,Maple,,Maple
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09)
R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23)
R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59)
R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41)
R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21)
L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27)
R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T)
L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1
,,,,,,,,,,
Maple,,Maple,,Maple,,Maple,,Maple,,Maple
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09),,L. 1st (1.09)
R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23),,R. Liberty (1.23)
R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59),,R. Stadium (2.59)
R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41),,R. Dexter (3.41)
R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21),,R. Revena (4.21)
L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27),,L. Washington (4.27)
R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T),,R. Fletcher (@ T)
L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T),,L. N University (@ T)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1,,Total: 6.1
