Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore
R. Main,,R. Main,,R. Main,,R. Main,,R. Main,
L. Miller (1),,L. Miller (1),,L. Miller (1),,L. Miller (1),,L. Miller (1),
R. Newport (2),,R. Newport (2),,R. Newport (2),,R. Newport (2),,R. Newport (2),
R. Foster (4.23),,R. Foster (4.23),,R. Foster (4.23),,R. Foster (4.23),,R. Foster (4.23),
Sl R. Country Club (4.41),,Sl R. Country Club (4.41),,Sl R. Country Club (4.41),,Sl R. Country Club (4.41),,Sl R. Country Club (4.41),
R. Spring Valley (5.75),,R. Spring Valley (5.75),,R. Spring Valley (5.75),,R. Spring Valley (5.75),,R. Spring Valley (5.75),
R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),
Sl R. into Bandemer,,Sl R. into Bandemer,,Sl R. into Bandemer,,Sl R. into Bandemer,,Sl R. into Bandemer,
Park (7.56),,Park (7.56),,Park (7.56),,Park (7.56),,Park (7.56),
Through Bandemer,,Through Bandemer,,Through Bandemer,,Through Bandemer,,Through Bandemer,
L. Main (8.35),,L. Main (8.35),,L. Main (8.35),,L. Main (8.35),,L. Main (8.35),
L. Liberty (9.45),,L. Liberty (9.45),,L. Liberty (9.45),,L. Liberty (9.45),,L. Liberty (9.45),
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),
L. N University,,L. N University,,L. N University,,L. N University,,L. N University,
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,
Total: 10.33,,Total: 10.33,,Total: 10.33,,Total: 10.33,,Total: 10.33,
,,,,,,,,,
Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore,Washtenaw to Huron,Spring Valley - Barton Shore
R. Main,,R. Main,,R. Main,,R. Main,,R. Main,
L. Miller (1),,L. Miller (1),,L. Miller (1),,L. Miller (1),,L. Miller (1),
R. Newport (2),,R. Newport (2),,R. Newport (2),,R. Newport (2),,R. Newport (2),
R. Foster (4.23),,R. Foster (4.23),,R. Foster (4.23),,R. Foster (4.23),,R. Foster (4.23),
Sl R. Country Club (4.41),,Sl R. Country Club (4.41),,Sl R. Country Club (4.41),,Sl R. Country Club (4.41),,Sl R. Country Club (4.41),
R. Spring Valley (5.75),,R. Spring Valley (5.75),,R. Spring Valley (5.75),,R. Spring Valley (5.75),,R. Spring Valley (5.75),
R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),,R. Whitmore Lake (7.53),
Sl R. into Bandemer,,Sl R. into Bandemer,,Sl R. into Bandemer,,Sl R. into Bandemer,,Sl R. into Bandemer,
Park (7.56),,Park (7.56),,Park (7.56),,Park (7.56),,Park (7.56),
Through Bandemer,,Through Bandemer,,Through Bandemer,,Through Bandemer,,Through Bandemer,
L. Main (8.35),,L. Main (8.35),,L. Main (8.35),,L. Main (8.35),,L. Main (8.35),
L. Liberty (9.45),,L. Liberty (9.45),,L. Liberty (9.45),,L. Liberty (9.45),,L. Liberty (9.45),
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),
L. N University,,L. N University,,L. N University,,L. N University,,L. N University,
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,
Total: 10.33,,Total: 10.33,,Total: 10.33,,Total: 10.33,,Total: 10.33,
