Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10)
R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35)
(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light)
Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium
(2.45),,(2.45),,(2.45),,(2.45),,(2.45),,(2.45),,(2.45)
R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45)
R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15
,,,,,,,,,,,,
Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10)
R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35)
(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light)
Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium
(2.45),,(2.45),,(2.45),,(2.45),,(2.45),,(2.45),,(2.45)
R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45)
R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15
,,,,,,,,,,,,
Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop,,Arby's Loop
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10),,R. Overridge (2.10)
R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35),,R. Washtenaw (2.35)
(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light),,(cross at light)
Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium,,Stay L. onto Stadium
(2.45),,(2.45),,(2.45),,(2.45),,(2.45),,(2.45),,(2.45)
R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45),,R. Packard (3.45)
R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33),,R. State (4.33)
Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag,,Back through Diag
Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15,,Total: 5.15
