Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire
Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb
Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river
Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie
L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks
R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail
"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR"
"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight"
into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park
R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98)
R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07)
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total: 4.18,,Total: 4.18,,Total: 4.18,,Total: 4.18,,Total: 4.18,,Total: 4.18
,,,,,,,,,,
Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire
Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb
Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river
Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie
L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks
R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail
"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR"
"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight"
into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park
R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98)
R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07)
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total: 4.18,,Total: 4.18,,Total: 4.18,,Total: 4.18,,Total: 4.18,,Total: 4.18
,,,,,,,,,,
Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire,,Arb - Devonshire
Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb,,Washington Hts. into Arb
Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river,,Trails down to river
Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie,,Stay on trail L. of prairie
L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks,,L. across RR tracks
R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail,,R. onto paved trail
"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR",,"R. before Gallup, cross RR"
"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight",,"cross Gallup, straight"
into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park,,into Devonshire Park
R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98),,R. Devonshire Rd. (1.98)
R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07),,R. Washtenaw Ave. (3.07)
