Warren,,Warren,,Warren,,Warren,,Warren
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
R. Glen,,R. Glen,,R. Glen,,R. Glen,,R. Glen
L. Maiden Ln.,,L. Maiden Ln.,,L. Maiden Ln.,,L. Maiden Ln.,,L. Maiden Ln.
L. Wall St. ,,L. Wall St.,,L. Wall St.,,L. Wall St.,,L. Wall St.
Onto path along river,,Onto path along river,,Onto path along river,,Onto path along river,,Onto path along river
Argo nature area to livery,,Argo nature area to livery,,Argo nature area to livery,,Argo nature area to livery,,Argo nature area to livery
Trail along argo pond,,Trail along argo pond,,Trail along argo pond,,Trail along argo pond,,Trail along argo pond
Up stairs to wooden path,,Up stairs to wooden path,,Up stairs to wooden path,,Up stairs to wooden path,,Up stairs to wooden path
Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.
R. Warren Rd. (4.70),,R. Warren Rd. (4.70),,R. Warren Rd. (4.70),,R. Warren Rd. (4.70),,R. Warren Rd. (4.70)
R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85)
R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91)
L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63)
Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.
Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw
Total: 11.81,,Total: 11.81,,Total: 11.81,,Total: 11.81,,Total: 11.81
,,,,,,,,
Warren,,Warren,,Warren,,Warren,,Warren
Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron,,Washtenaw to Huron
R. Glen,,R. Glen,,R. Glen,,R. Glen,,R. Glen
L. Maiden Ln.,,L. Maiden Ln.,,L. Maiden Ln.,,L. Maiden Ln.,,L. Maiden Ln.
L. Wall St. ,,L. Wall St.,,L. Wall St.,,L. Wall St.,,L. Wall St.
Onto path along river,,Onto path along river,,Onto path along river,,Onto path along river,,Onto path along river
Argo nature area to livery,,Argo nature area to livery,,Argo nature area to livery,,Argo nature area to livery,,Argo nature area to livery
Trail along argo pond,,Trail along argo pond,,Trail along argo pond,,Trail along argo pond,,Trail along argo pond
Up stairs to wooden path,,Up stairs to wooden path,,Up stairs to wooden path,,Up stairs to wooden path,,Up stairs to wooden path
Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.,,Cont. to Whitmore Lk. Rd.
R. Warren Rd. (4.70),,R. Warren Rd. (4.70),,R. Warren Rd. (4.70),,R. Warren Rd. (4.70),,R. Warren Rd. (4.70)
R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85),,R. Nixon Rd. (6.85)
R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91),,R. Plymouth Rd. (8.91)
L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63),,L. Murfin Ave. (9.63)
Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.,,Bonisteel Blvd. to Fuller Rd.
Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw,,Fuller to Glen to Washtenaw
Total: 11.81,,Total: 11.81,,Total: 11.81,,Total: 11.81,,Total: 11.81
