Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White
S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.
R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85)
R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58)
R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14)
R. Arch St.,,R. Arch St.,,R. Arch St.,,R. Arch St.
quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86)
R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91)
R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95)
L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12)
Church back to CCRB,,Church back to CCRB,,Church back to CCRB,,Church back to CCRB
Total: 3.68,,Total: 3.68,,Total: 3.68,,Total: 3.68
,,,,,,
Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White
S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.
R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85)
R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58)
R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14)
R. Arch St.,,R. Arch St.,,R. Arch St.,,R. Arch St.
quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86)
R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91)
R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95)
L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12)
Church back to CCRB,,Church back to CCRB,,Church back to CCRB,,Church back to CCRB
Total: 3.68,,Total: 3.68,,Total: 3.68,,Total: 3.68
,,,,,,
Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White
S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.
R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85)
R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58)
R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14)
R. Arch St.,,R. Arch St.,,R. Arch St.,,R. Arch St.
quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86)
R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91)
R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95)
L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12)
Church back to CCRB,,Church back to CCRB,,Church back to CCRB,,Church back to CCRB
Total: 3.68,,Total: 3.68,,Total: 3.68,,Total: 3.68
,,,,,,
Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White,,Ferdon - Stadium - White
S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.,,S. on Washtenaw Ave.
R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85),,R. Ferdon Rd. (0.85)
R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58),,R. E. Stadium Blvd. (1.58)
R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14),,R. White St. (2.14)
R. Arch St.,,R. Arch St.,,R. Arch St.,,R. Arch St.
quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86),,quick L. Packard (2.86)
R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91),,R. State St. (2.91)
R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95),,R. Hill St. (2.95)
L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12),,L. Church St. (3.12)
Church back to CCRB,,Church back to CCRB,,Church back to CCRB,,Church back to CCRB
Total: 3.68,,Total: 3.68,,Total: 3.68,,Total: 3.68
