Huronview,,Huronview,,Huronview,,Huronview,,Huronview,,Huronview
N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw
R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19)
Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine
R. Glen (.43),,R. Glen (.43),,R. Glen (.43),,R. Glen (.43),,R. Glen (.43),,R. Glen (.43)
L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59)
R. Main (1.27),,R. Main (1.27),,R. Main (1.27),,R. Main (1.27),,R. Main (1.27),,R. Main (1.27)
L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93)
L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T)
R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T)
L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75)
L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35)
R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41)
L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48)
R. Main (3.93),,R. Main (3.93),,R. Main (3.93),,R. Main (3.93),,R. Main (3.93),,R. Main (3.93)
L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15)
Cross Glen,,Cross Glen,,Cross Glen,,Cross Glen,,Cross Glen,,Cross Glen
Curve R. onto,,Curve R. onto,,Curve R. onto,,Curve R. onto,,Curve R. onto,,Curve R. onto
Zina Pitcher,,Zina Pitcher,,Zina Pitcher,,Zina Pitcher,,Zina Pitcher,,Zina Pitcher
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 5.24,,Total: 5.24,,Total: 5.24,,Total: 5.24,,Total: 5.24,,Total: 5.24
,,,,,,,,,,
Huronview,,Huronview,,Huronview,,Huronview,,Huronview,,Huronview
N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw
R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19),,R. Zina Pitcher (.19)
Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine,,Curve L. onto Catherine
R. Glen (.43),,R. Glen (.43),,R. Glen (.43),,R. Glen (.43),,R. Glen (.43),,R. Glen (.43)
L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59),,L. Fuller (.59)
R. Main (1.27),,R. Main (1.27),,R. Main (1.27),,R. Main (1.27),,R. Main (1.27),,R. Main (1.27)
L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93),,L. Huronview (1.93)
L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T),,L. Beechwood (@ T)
R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T),,R. Sunset (@ T)
L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75),,L. Brooks (2.75)
L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35),,L. Hiscock (3.35)
R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41),,R. Gott (3.41)
L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48),,L. Felch (3.48)
R. Main (3.93),,R. Main (3.93),,R. Main (3.93),,R. Main (3.93),,R. Main (3.93),,R. Main (3.93)
L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15),,L. Miller (4.15)
Cross Glen,,Cross Glen,,Cross Glen,,Cross Glen,,Cross Glen,,Cross Glen
Curve R. onto,,Curve R. onto,,Curve R. onto,,Curve R. onto,,Curve R. onto,,Curve R. onto
Zina Pitcher,,Zina Pitcher,,Zina Pitcher,,Zina Pitcher,,Zina Pitcher,,Zina Pitcher
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 5.24,,Total: 5.24,,Total: 5.24,,Total: 5.24,,Total: 5.24,,Total: 5.24
