Dhu Leslie,,Dhu Leslie,,Dhu Leslie
Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.
R. Plymouth (1.41),,R. Plymouth (1.41),,R. Plymouth (1.41)
L. Traverwood (3.22),,L. Traverwood (3.22),,L. Traverwood (3.22)
L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82)
Forced right onto Tuebingen,,Forced right onto Tuebingen,,Forced right onto Tuebingen
Straight through Placid Park,,Straight through Placid Park,,Straight through Placid Park
L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51)
L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96)
R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72)
L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03)
L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38)
E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB
Total: 9.20,,Total: 9.20,,Total: 9.20
,,,,
Dhu Leslie,,Dhu Leslie,,Dhu Leslie
Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.
R. Plymouth (1.41),,R. Plymouth (1.41),,R. Plymouth (1.41)
L. Traverwood (3.22),,L. Traverwood (3.22),,L. Traverwood (3.22)
L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82)
Forced right onto Tuebingen,,Forced right onto Tuebingen,,Forced right onto Tuebingen
Straight through Placid Park,,Straight through Placid Park,,Straight through Placid Park
L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51)
L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96)
R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72)
L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03)
L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38)
E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB
Total: 9.20,,Total: 9.20,,Total: 9.20
,,,,
Dhu Leslie,,Dhu Leslie,,Dhu Leslie
Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.
R. Plymouth (1.41),,R. Plymouth (1.41),,R. Plymouth (1.41)
L. Traverwood (3.22),,L. Traverwood (3.22),,L. Traverwood (3.22)
L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82)
Forced right onto Tuebingen,,Forced right onto Tuebingen,,Forced right onto Tuebingen
Straight through Placid Park,,Straight through Placid Park,,Straight through Placid Park
L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51)
L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96)
R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72)
L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03)
L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38)
E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB
Total: 9.20,,Total: 9.20,,Total: 9.20
,,,,
Dhu Leslie,,Dhu Leslie,,Dhu Leslie
Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.,,Medical Ctr. To Maiden Ln.
R. Plymouth (1.41),,R. Plymouth (1.41),,R. Plymouth (1.41)
L. Traverwood (3.22),,L. Traverwood (3.22),,L. Traverwood (3.22)
L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82),,L. Huron Pkwy (3.82)
Forced right onto Tuebingen,,Forced right onto Tuebingen,,Forced right onto Tuebingen
Straight through Placid Park,,Straight through Placid Park,,Straight through Placid Park
L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51),,L. Dhu Varren Rd. (4.51)
L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96),,L. Leslie Park Cir. (4.96)
R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72),,R. Arrowwood Trail Rd. (5.72)
L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03),,L. Pontiac Trail Rd. (6.03)
L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38),,L. Moore St. to Maiden (7.38)
E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB,,E Medical Ctr. To CCRB
Total: 9.20,,Total: 9.20,,Total: 9.20
