County Farm Park,,County Farm Park,,County Farm Park,,County Farm Park
S. on Observatory,,S. on Observatory,,S. on Observatory,,S. on Observatory
L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.
R. Hill St.,,R. Hill St.,,R. Hill St.,,R. Hill St.
L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.
(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry)
Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester
L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park
EXPLORE!,,EXPLORE!,,EXPLORE!,,EXPLORE!
after one big park loop,,after one big park loop,,after one big park loop,,after one big park loop
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total: 6.09,,Total: 6.09,,Total: 6.09,,Total: 6.09
,,,,,,
County Farm Park,,County Farm Park,,County Farm Park,,County Farm Park
S. on Observatory,,S. on Observatory,,S. on Observatory,,S. on Observatory
L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.
R. Hill St.,,R. Hill St.,,R. Hill St.,,R. Hill St.
L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.
(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry)
Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester
L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park
EXPLORE!,,EXPLORE!,,EXPLORE!,,EXPLORE!
after one big park loop,,after one big park loop,,after one big park loop,,after one big park loop
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total: 6.09,,Total: 6.09,,Total: 6.09,,Total: 6.09
,,,,,,
County Farm Park,,County Farm Park,,County Farm Park,,County Farm Park
S. on Observatory,,S. on Observatory,,S. on Observatory,,S. on Observatory
L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.
R. Hill St.,,R. Hill St.,,R. Hill St.,,R. Hill St.
L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.
(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry)
Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester
L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park
EXPLORE!,,EXPLORE!,,EXPLORE!,,EXPLORE!
after one big park loop,,after one big park loop,,after one big park loop,,after one big park loop
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total: 6.09,,Total: 6.09,,Total: 6.09,,Total: 6.09
,,,,,,
County Farm Park,,County Farm Park,,County Farm Park,,County Farm Park
S. on Observatory,,S. on Observatory,,S. on Observatory,,S. on Observatory
L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.,,L. Geddes Rd.
R. Hill St.,,R. Hill St.,,R. Hill St.,,R. Hill St.
L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.,,L. Avon Rd.
(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry),,(turns into Londonderry)
Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester,,Cross Washt. to Manchester
L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park,,L. into County Farm Park
EXPLORE!,,EXPLORE!,,EXPLORE!,,EXPLORE!
after one big park loop,,after one big park loop,,after one big park loop,,after one big park loop
Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB,,Washtenaw to CCRB
Total: 6.09,,Total: 6.09,,Total: 6.09,,Total: 6.09
