Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into
Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR
tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76)
L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2)
Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central
Campus,,Campus,,Campus,,Campus,,Campus,,Campus,,Campus,,Campus
L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37)
R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89
,,,,,,,,,,,,,,
Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into
Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR
tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76)
L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2)
Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central
Campus,,Campus,,Campus,,Campus,,Campus,,Campus,,Campus,,Campus
L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37)
R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89
,,,,,,,,,,,,,,
Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing,,Gallup Crossing
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into,,Stay Straight into
Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR,,Gallup (cross RR
tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76),,tracks - 1.76)
L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2),,L. Fuller (2)
Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central,,Follow to Central
Campus,,Campus,,Campus,,Campus,,Campus,,Campus,,Campus,,Campus
L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37),,L. Ann (4.37)
R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory,,R. Observatory
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89,,Total: 4.89
