Leslie Golf Course,,Leslie Golf Course,,Leslie Golf Course,,Leslie Golf Course,,Leslie Golf Course
To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading North,,Heading North,,Heading North,,Heading North,,Heading North
R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights
(Markley),,(Markley),,(Markley),,(Markley),,(Markley)
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
Cross Fuller (1),,Cross Fuller (1),,Cross Fuller (1),,Cross Fuller (1),,Cross Fuller (1)
R. Plymouth (1.4),,R. Plymouth (1.4),,R. Plymouth (1.4),,R. Plymouth (1.4),,R. Plymouth (1.4)
"Cross Plymouth,",,"Cross Plymouth,",,"Cross Plymouth,",,"Cross Plymouth,",,"Cross Plymouth,"
go up stairs,,go up stairs,,go up stairs,,go up stairs,,go up stairs
R. Traver,,R. Traver,,R. Traver,,R. Traver,,R. Traver
L. Traver (@ T),,L. Traver (@ T),,L. Traver (@ T),,L. Traver (@ T),,L. Traver (@ T)
R. Tuebingen (3.65),,R. Tuebingen (3.65),,R. Tuebingen (3.65),,R. Tuebingen (3.65),,R. Tuebingen (3.65)
R. Traver (3.84),,R. Traver (3.84),,R. Traver (3.84),,R. Traver (3.84),,R. Traver (3.84)
L. Traver (3.93),,L. Traver (3.93),,L. Traver (3.93),,L. Traver (3.93),,L. Traver (3.93)
Down stairs (5.6),,Down stairs (5.6),,Down stairs (5.6),,Down stairs (5.6),,Down stairs (5.6)
R. Plymouth,,R. Plymouth,,R. Plymouth,,R. Plymouth,,R. Plymouth
L. Maiden (5.84),,L. Maiden (5.84),,L. Maiden (5.84),,L. Maiden (5.84),,L. Maiden (5.84)
Cross Fuller,,Cross Fuller,,Cross Fuller,,Cross Fuller,,Cross Fuller
L. Observatory (7.02),,L. Observatory (7.02),,L. Observatory (7.02),,L. Observatory (7.02),,L. Observatory (7.02)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 7.23,,Total: 7.23,,Total: 7.23,,Total: 7.23,,Total: 7.23
,,,,,,,,
Leslie Golf Course,,Leslie Golf Course,,Leslie Golf Course,,Leslie Golf Course,,Leslie Golf Course
To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading North,,Heading North,,Heading North,,Heading North,,Heading North
R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights
(Markley),,(Markley),,(Markley),,(Markley),,(Markley)
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
Cross Fuller (1),,Cross Fuller (1),,Cross Fuller (1),,Cross Fuller (1),,Cross Fuller (1)
R. Plymouth (1.4),,R. Plymouth (1.4),,R. Plymouth (1.4),,R. Plymouth (1.4),,R. Plymouth (1.4)
"Cross Plymouth,",,"Cross Plymouth,",,"Cross Plymouth,",,"Cross Plymouth,",,"Cross Plymouth,"
go up stairs,,go up stairs,,go up stairs,,go up stairs,,go up stairs
R. Traver,,R. Traver,,R. Traver,,R. Traver,,R. Traver
L. Traver (@ T),,L. Traver (@ T),,L. Traver (@ T),,L. Traver (@ T),,L. Traver (@ T)
R. Tuebingen (3.65),,R. Tuebingen (3.65),,R. Tuebingen (3.65),,R. Tuebingen (3.65),,R. Tuebingen (3.65)
R. Traver (3.84),,R. Traver (3.84),,R. Traver (3.84),,R. Traver (3.84),,R. Traver (3.84)
L. Traver (3.93),,L. Traver (3.93),,L. Traver (3.93),,L. Traver (3.93),,L. Traver (3.93)
Down stairs (5.6),,Down stairs (5.6),,Down stairs (5.6),,Down stairs (5.6),,Down stairs (5.6)
R. Plymouth,,R. Plymouth,,R. Plymouth,,R. Plymouth,,R. Plymouth
L. Maiden (5.84),,L. Maiden (5.84),,L. Maiden (5.84),,L. Maiden (5.84),,L. Maiden (5.84)
Cross Fuller,,Cross Fuller,,Cross Fuller,,Cross Fuller,,Cross Fuller
L. Observatory (7.02),,L. Observatory (7.02),,L. Observatory (7.02),,L. Observatory (7.02),,L. Observatory (7.02)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 7.23,,Total: 7.23,,Total: 7.23,,Total: 7.23,,Total: 7.23
