Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special
N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw
L. Huron (0.21),,L. Huron (0.21),,L. Huron (0.21),,L. Huron (0.21),,L. Huron (0.21)
Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85)
R. North Maple (2.64),,R. North Maple (2.64),,R. North Maple (2.64),,R. North Maple (2.64),,R. North Maple (2.64)
Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78)
L. North Maple (4.93),,L. North Maple (4.93),,L. North Maple (4.93),,L. North Maple (4.93),,L. North Maple (4.93)
R. Country Club (5.05),,R. Country Club (5.05),,R. Country Club (5.05),,R. Country Club (5.05),,R. Country Club (5.05)
R. Spring Valley (6.36),,R. Spring Valley (6.36),,R. Spring Valley (6.36),,R. Spring Valley (6.36),,R. Spring Valley (6.36)
Continue Barton Shore (6.67),,Continue Barton Shore (6.67),,Continue Barton Shore (6.67),,Continue Barton Shore (6.67),,Continue Barton Shore (6.67)
R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78)
Through Trails (Willis),,Through Trails (Willis),,Through Trails (Willis),,Through Trails (Willis),,Through Trails (Willis)
R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79)
L. Huron River (9.03),,L. Huron River (9.03),,L. Huron River (9.03),,L. Huron River (9.03),,L. Huron River (9.03)
L. Trail (9.09),,L. Trail (9.09),,L. Trail (9.09),,L. Trail (9.09),,L. Trail (9.09)
R. Through Bandemer (9.17),,R. Through Bandemer (9.17),,R. Through Bandemer (9.17),,R. Through Bandemer (9.17),,R. Through Bandemer (9.17)
Exit onto N. Main (10.16),,Exit onto N. Main (10.16),,Exit onto N. Main (10.16),,Exit onto N. Main (10.16),,Exit onto N. Main (10.16)
L. Depot (10.24),,L. Depot (10.24),,L. Depot (10.24),,L. Depot (10.24),,L. Depot (10.24)
R. Glen (10.91),,R. Glen (10.91),,R. Glen (10.91),,R. Glen (10.91),,R. Glen (10.91)
L. Huron (11.2),,L. Huron (11.2),,L. Huron (11.2),,L. Huron (11.2),,L. Huron (11.2)
R. back to CCRB (11.29),,R. back to CCRB (11.29),,R. back to CCRB (11.29),,R. back to CCRB (11.29),,R. back to CCRB (11.29)
Total: 11.50,,Total: 11.50,,Total: 11.50,,Total: 11.50,,Total: 11.50
,,,,,,,,
Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special,,Jake and Ross's Summertime Special
N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw,,N on Washtenaw
L. Huron (0.21),,L. Huron (0.21),,L. Huron (0.21),,L. Huron (0.21),,L. Huron (0.21)
Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85),,Slight R. onto Dexter (1.85)
R. North Maple (2.64),,R. North Maple (2.64),,R. North Maple (2.64),,R. North Maple (2.64),,R. North Maple (2.64)
Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78),,Slight R. on Huron River (4.78)
L. North Maple (4.93),,L. North Maple (4.93),,L. North Maple (4.93),,L. North Maple (4.93),,L. North Maple (4.93)
R. Country Club (5.05),,R. Country Club (5.05),,R. Country Club (5.05),,R. Country Club (5.05),,R. Country Club (5.05)
R. Spring Valley (6.36),,R. Spring Valley (6.36),,R. Spring Valley (6.36),,R. Spring Valley (6.36),,R. Spring Valley (6.36)
Continue Barton Shore (6.67),,Continue Barton Shore (6.67),,Continue Barton Shore (6.67),,Continue Barton Shore (6.67),,Continue Barton Shore (6.67)
R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78),,R. toward Barton Trails (7.78)
Through Trails (Willis),,Through Trails (Willis),,Through Trails (Willis),,Through Trails (Willis),,Through Trails (Willis)
R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79),,R. Barton Nature Trail (8.79)
L. Huron River (9.03),,L. Huron River (9.03),,L. Huron River (9.03),,L. Huron River (9.03),,L. Huron River (9.03)
