5th And Back,,5th And Back,,5th And Back,,5th And Back,,5th And Back,,5th And Back
Out N University,,Out N University,,Out N University,,Out N University,,Out N University,,Out N University
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T)
L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty
L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE)
L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
R. S University,,R. S University,,R. S University,,R. S University,,R. S University,,R. S University
L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before
Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66)
"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,"
back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB
Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05
,,,,,,,,,,
5th And Back,,5th And Back,,5th And Back,,5th And Back,,5th And Back,,5th And Back
Out N University,,Out N University,,Out N University,,Out N University,,Out N University,,Out N University
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T)
L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty
L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE)
L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
R. S University,,R. S University,,R. S University,,R. S University,,R. S University,,R. S University
L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before
Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66)
"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,"
back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB
Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05
,,,,,,,,,,
5th And Back,,5th And Back,,5th And Back,,5th And Back,,5th And Back,,5th And Back
Out N University,,Out N University,,Out N University,,Out N University,,Out N University,,Out N University
R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T),,R. State (@ T)
L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty,,L. Liberty
L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE),,L. 5th (1.26) (NOT AVE)
L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58),,L. Madison (1.58)
L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T),,L. State (@ T)
R. S University,,R. S University,,R. S University,,R. S University,,R. S University,,R. S University
L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before,,L. sidewalk before
Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66),,Ulrichs (2.66)
"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,",,"Cross N Univ.,"
back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB,,back to CCRB
Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05,,Total: 3.05
