Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49)
R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23
,,,,,,,,,,
Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49)
R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23
,,,,,,,,,,
Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49)
R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23
,,,,,,,,,,
Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop,,Arlington Loop
Start South on,,Start South on,,Start South on,,Start South on,,Start South on,,Start South on
Observatory,,Observatory,,Observatory,,Observatory,,Observatory,,Observatory
L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes,,L. Geddes
R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27),,R. Arlington (1.27)
R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49),,R. Devonshire (1.49)
R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19),,R. Washtenaw (2.19)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23,,Total: 3.23
