Huron Pkwy,,Huron Pkwy,,Huron Pkwy,,Huron Pkwy,,Huron Pkwy,,Huron Pkwy
To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading North,,Heading North,,Heading North,,Heading North,,Heading North,,Heading North
R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights
R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T),,R. Medical Center (@ T)
R. Fuller (1),,R. Fuller (1),,R. Fuller (1),,R. Fuller (1),,R. Fuller (1),,R. Fuller (1)
L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06),,L. Glazier (2.06)
R. Huron Pkwy (2.48),,R. Huron Pkwy (2.48),,R. Huron Pkwy (2.48),,R. Huron Pkwy (2.48),,R. Huron Pkwy (2.48),,R. Huron Pkwy (2.48)
R. Fuller/Geddes (3.23),,R. Fuller/Geddes (3.23),,R. Fuller/Geddes (3.23),,R. Fuller/Geddes (3.23),,R. Fuller/Geddes (3.23),,R. Fuller/Geddes (3.23)
L. Gallup Park (3.31),,L. Gallup Park (3.31),,L. Gallup Park (3.31),,L. Gallup Park (3.31),,L. Gallup Park (3.31),,L. Gallup Park (3.31)
R. paved trail after,,R. paved trail after,,R. paved trail after,,R. paved trail after,,R. paved trail after,,R. paved trail after
wood bridge,,wood bridge,,wood bridge,,wood bridge,,wood bridge,,wood bridge
L. hole in fence (4.11),,L. hole in fence (4.11),,L. hole in fence (4.11),,L. hole in fence (4.11),,L. hole in fence (4.11),,L. hole in fence (4.11)
Quick R. into Arb,,Quick R. into Arb,,Quick R. into Arb,,Quick R. into Arb,,Quick R. into Arb,,Quick R. into Arb
Follow straight through Arb,,Follow straight through Arb,,Follow straight through Arb,,Follow straight through Arb,,Follow straight through Arb,,Follow straight through Arb
"L. up 2ND road, then quick",,"L. up 2ND road, then quick",,"L. up 2ND road, then quick",,"L. up 2ND road, then quick",,"L. up 2ND road, then quick",,"L. up 2ND road, then quick"
R. up stairs (4.66),,R. up stairs (4.66),,R. up stairs (4.66),,R. up stairs (4.66),,R. up stairs (4.66),,R. up stairs (4.66)
To Washington Heights,,To Washington Heights,,To Washington Heights,,To Washington Heights,,To Washington Heights,,To Washington Heights
(Markley) (5.05),,(Markley) (5.05),,(Markley) (5.05),,(Markley) (5.05),,(Markley) (5.05),,(Markley) (5.05)
L. Observatory (@ T),,L. Observatory (@ T),,L. Observatory (@ T),,L. Observatory (@ T),,L. Observatory (@ T),,L. Observatory (@ T)
Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB,,Back to CCRB
Total: 5.42,,Total: 5.42,,Total: 5.42,,Total: 5.42,,Total: 5.42,,Total: 5.42
,,,,,,,,,,
Huron Pkwy,,Huron Pkwy,,Huron Pkwy,,Huron Pkwy,,Huron Pkwy,,Huron Pkwy
To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory,,To Observatory
Heading North,,Heading North,,Heading North,,Heading North,,Heading North,,Heading North
R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights,,R. Washington Heights
